snapshot_label,route_id,route_name,item_count,vol_rows,zero_count,nonzero_count,mean_vol,mean_spd,mean_trvl
2026-04-13 17:28,1050000571,안양판교로/관악대로,129,129,129,0,0.000,33.295,30.953
2026-04-13 17:28,1020003121,봉담과천로,131,131,131,0,0.000,49.939,32.053
2026-04-13 17:28,1070000091,덕영대로/오봉로,4,4,4,0,0.000,23.000,4.250
2026-04-13 17:28,1010001001,수도권 제1순환고속도로,542,542,386,156,22.577,57.821,55.194
