grid_id,total_score_0_100_old,priority_rank_old,total_score_0_100_new,priority_rank_new,abs_score_diff
38222,58.731,16035,80.47,915,21.738999999999997
57144,43.964,25697,22.225,34818,21.738999999999997
54689,58.509,16203,36.77,27097,21.738999999999997
40006,61.389,14056,83.128,665,21.738999999999997
49657,45.897,24709,67.636,5794,21.738999999999997
38471,58.139,16476,79.878,1058,21.738999999999997
29352,82.116,317,60.377,11335,21.738999999999997
37982,58.608,16128,80.347,943,21.738999999999997
47256,72.702,6225,50.963,18385,21.738999999999997
57017,44.044,25652,22.305,34774,21.738999999999997
39750,61.525,13952,83.264,658,21.738999999999997
28191,77.598,2930,55.859,14526,21.738999999999997
57018,44.031,25657,22.292,34781,21.738999999999997
48223,71.273,7137,49.534,19425,21.738999999999997
45995,75.137,4552,53.398,16470,21.738999999999997
38469,58.1,16510,79.839,1068,21.738999999999997
39490,58.769,16001,80.508,907,21.738999999999997
46248,74.374,5125,52.635,17091,21.738999999999997
46252,74.488,5043,52.749,16996,21.738999999999997
34988,84.978,151,63.239,9189,21.738999999999997
29062,80.711,670,58.972,12283,21.738999999999997
36972,56.656,17662,78.395,1412,21.738999999999997
36976,56.49,17791,78.229,1452,21.738999999999997
28194,81.261,442,59.522,11918,21.738999999999997
12632,59.638,15370,81.377,787,21.738999999999997
28483,80.746,651,59.007,12261,21.738999999999997
36471,57.609,16903,79.348,1186,21.738999999999997
38725,57.585,16922,79.324,1198,21.738999999999997
54860,57.547,16955,35.808,27522,21.738999999999997
37732,59.159,15715,80.898,847,21.738999999999997
27905,81.741,371,60.002,11591,21.738999999999997
27906,82.815,248,61.076,10822,21.738999999999997
22417,93.07,3,71.331,3328,21.73899999999999
21912,92.3,9,70.561,3646,21.73899999999999
38480,58.84,15954,80.579,897,21.73899999999999
29351,81.317,427,59.578,11879,21.73899999999999
21179,90.508,32,68.769,4873,21.73899999999999
22162,92.314,8,70.575,3640,21.73899999999999
22931,92.871,5,71.132,3410,21.73899999999999
736,30.455,31491,50.904,18429,20.449000000000005
177,33.175,30173,53.624,16278,20.449000000000005
324,34.196,29772,54.645,15449,20.449000000000005
220,32.644,30414,53.093,16723,20.449000000000005
388,35.547,29255,55.996,14421,20.449000000000005
326,34.144,29796,54.593,15491,20.449000000000005
174,32.303,30584,52.752,16994,20.449000000000005
178,33.62,29989,54.069,15908,20.449000000000005
98,32.769,30356,53.218,16620,20.449000000000005
133,32.117,30664,52.566,17148,20.449000000000005
383,34.989,29465,55.438,14844,20.449000000000005
446,35.76,29166,56.209,14260,20.449000000000005
65,32.105,30670,52.554,17158,20.449000000000005
735,29.818,31851,50.267,18901,20.449
606,29.91,31800,50.359,18831,20.449
64,31.706,30860,52.155,17474,20.449
670,29.892,31812,50.341,18843,20.449
171,31.66,30887,52.109,17505,20.449
29,29.504,32016,49.953,19136,20.449
357,29.426,32060,49.875,19187,20.449
292,24.298,34844,44.747,22646,20.449
58,29.431,32057,49.88,19183,20.449
131,31.486,30963,51.935,17641,20.449
605,29.312,32122,49.761,19261,20.449
304,30.004,31744,50.453,18762,20.449
15,31.443,30985,51.892,17675,20.449
478,28.681,32453,49.13,19717,20.449
130,31.276,31072,51.725,17801,20.449
479,29.237,32163,49.686,19317,20.449
85,30.139,31666,50.588,18663,20.449
537,26.429,33620,46.878,21236,20.449
306,30.746,31349,51.195,18212,20.449
293,24.55,34705,44.999,22487,20.449
61,30.429,31511,50.878,18453,20.449
89,30.077,31698,50.526,18707,20.449
415,28.048,32779,48.497,20162,20.449
603,28.081,32757,48.53,20138,20.449
55,29.282,32138,49.731,19285,20.449
26,28.404,32586,48.853,19916,20.449
24,28.635,32477,49.084,19754,20.449
353,27.404,33113,47.853,20584,20.449
737,31.081,31173,51.53,17951,20.449
348,24.657,34647,45.106,22426,20.449
241,25.029,34421,45.478,22191,20.449
88,30.102,31685,50.551,18689,20.449
4,30.529,31456,50.978,18373,20.449
